"","X","id","dia","sentence","rating","Blocking","Identidy"
"134",34,"S034","nor","s2",2,"no","no"
"135",34,"S034","nor","s3",3,"no","yes"
"136",34,"S034","nor","s4",5,"no","yes"
"137",35,"S035","nor","s1",1,"yes","no"
"138",35,"S035","nor","s2",3,"no","no"
"139",35,"S035","nor","s3",4,"no","yes"
"140",35,"S035","nor","s4",3,"no","yes"
"141",36,"S036","nor","s1",1,"yes","no"
"142",36,"S036","nor","s2",2,"no","no"
"143",36,"S036","nor","s3",3,"no","yes"
"144",36,"S036","nor","s4",2,"no","yes"
"145",37,"S037","nor","s1",1,"yes","no"
"146",37,"S037","nor","s2",1,"no","no"
"147",37,"S037","nor","s3",3,"no","yes"
"148",37,"S037","nor","s4",5,"no","yes"
"149",38,"S038","nor","s1",2,"yes","no"
"150",38,"S038","nor","s2",3,"no","no"
"151",38,"S038","nor","s3",4,"no","yes"
"152",38,"S038","nor","s4",4,"no","yes"
"153",39,"S039","nor","s1",1,"yes","no"
"154",39,"S039","nor","s2",1,"no","no"
"155",39,"S039","nor","s3",3,"no","yes"
"156",39,"S039","nor","s4",6,"no","yes"
"157",40,"S040","nor","s1",1,"yes","no"
"158",40,"S040","nor","s2",2,"no","no"
"159",40,"S040","nor","s3",2,"no","yes"
"160",40,"S040","nor","s4",4,"no","yes"
"161",41,"S041","nor","s1",2,"yes","no"
"162",41,"S041","nor","s2",2,"no","no"
"163",41,"S041","nor","s3",3,"no","yes"
"164",41,"S041","nor","s4",3,"no","yes"
"165",42,"S042","nor","s1",1,"yes","no"
"166",42,"S042","nor","s2",2,"no","no"
"167",42,"S042","nor","s3",3,"no","yes"
"168",42,"S042","nor","s4",4,"no","yes"
"169",43,"S043","nor","s1",2,"yes","no"
"170",43,"S043","nor","s2",1,"no","no"
"171",43,"S043","nor","s3",2,"no","yes"
"172",43,"S043","nor","s4",3,"no","yes"
"173",44,"S044","nor","s1",1,"yes","no"
"174",44,"S044","nor","s2",3,"no","no"
"175",44,"S044","nor","s3",2,"no","yes"
"176",44,"S044","nor","s4",6,"no","yes"
"177",45,"S045","nor","s1",1,"yes","no"
"178",45,"S045","nor","s2",2,"no","no"
"179",45,"S045","nor","s3",4,"no","yes"
"180",45,"S045","nor","s4",3,"no","yes"
"181",46,"S046","nor","s1",2,"yes","no"
"182",46,"S046","nor","s2",2,"no","no"
"183",46,"S046","nor","s3",2,"no","yes"
"184",46,"S046","nor","s4",4,"no","yes"
"185",47,"S047","nor","s1",1,"yes","no"
"186",47,"S047","nor","s2",3,"no","no"
"187",47,"S047","nor","s3",4,"no","yes"
"188",47,"S047","nor","s4",4,"no","yes"
"189",48,"S048","nor","s1",2,"yes","no"
"190",48,"S048","nor","s2",3,"no","no"
"191",48,"S048","nor","s3",2,"no","yes"
"192",48,"S048","nor","s4",6,"no","yes"
"193",49,"S049","nor","s1",2,"yes","no"
"194",49,"S049","nor","s2",1,"no","no"
"195",49,"S049","nor","s3",2,"no","yes"
"196",49,"S049","nor","s4",3,"no","yes"
"197",50,"S050","nor","s1",1,"yes","no"
"198",50,"S050","nor","s2",1,"no","no"
"199",50,"S050","nor","s3",3,"no","yes"
"200",50,"S050","nor","s4",4,"no","yes"
"201",51,"S051","sou","s1",4,"yes","no"
"202",51,"S051","sou","s2",6,"no","no"
"203",51,"S051","sou","s3",7,"no","yes"
"204",51,"S051","sou","s4",7,"no","yes"
"205",52,"S052","sou","s1",5,"yes","no"
"206",52,"S052","sou","s2",6,"no","no"
"207",52,"S052","sou","s3",7,"no","yes"
"208",52,"S052","sou","s4",7,"no","yes"
"209",53,"S053","sou","s1",7,"yes","no"
"210",53,"S053","sou","s2",5,"no","no"
"211",53,"S053","sou","s3",6,"no","yes"
"212",53,"S053","sou","s4",7,"no","yes"
"213",54,"S054","sou","s1",2,"yes","no"
"214",54,"S054","sou","s2",5,"no","no"
"215",54,"S054","sou","s3",7,"no","yes"
"216",54,"S054","sou","s4",7,"no","yes"
"217",55,"S055","sou","s1",7,"yes","no"
"218",55,"S055","sou","s2",5,"no","no"
"219",55,"S055","sou","s3",6,"no","yes"
