id,dia,sentence,rating,Blocking,Identidy
S051,sou,s2,6,no,no
S051,sou,s3,7,no,yes
S051,sou,s4,7,no,yes
S052,sou,s1,5,yes,no
S052,sou,s2,6,no,no
S052,sou,s3,7,no,yes
S052,sou,s4,7,no,yes
S053,sou,s1,7,yes,no
S053,sou,s2,5,no,no
S053,sou,s3,6,no,yes
S053,sou,s4,7,no,yes
S054,sou,s1,2,yes,no
S054,sou,s2,5,no,no
S054,sou,s3,7,no,yes
S054,sou,s4,7,no,yes
S055,sou,s1,7,yes,no
S055,sou,s2,5,no,no
S055,sou,s3,6,no,yes
S055,sou,s4,7,no,yes
S056,sou,s1,6,yes,no
S056,sou,s2,6,no,no
S056,sou,s3,6,no,yes
S056,sou,s4,7,no,yes
S057,sou,s1,5,yes,no
S057,sou,s2,6,no,no
S057,sou,s3,7,no,yes
S057,sou,s4,7,no,yes
S058,sou,s1,6,yes,no
S058,sou,s2,5,no,no
S058,sou,s3,7,no,yes
S058,sou,s4,7,no,yes
S059,sou,s1,4,yes,no
S059,sou,s2,5,no,no
S059,sou,s3,6,no,yes
S059,sou,s4,7,no,yes
S060,sou,s1,6,yes,no
S060,sou,s2,6,no,no
S060,sou,s3,7,no,yes
S060,sou,s4,7,no,yes
S061,sou,s1,5,yes,no
S061,sou,s2,6,no,no
S061,sou,s3,7,no,yes
S061,sou,s4,7,no,yes
S062,sou,s1,3,yes,no
S062,sou,s2,5,no,no
S062,sou,s3,6,no,yes
S062,sou,s4,7,no,yes
S063,sou,s1,7,yes,no
S063,sou,s2,7,no,no
S063,sou,s3,7,no,yes
S063,sou,s4,7,no,yes
S064,sou,s1,6,yes,no
S064,sou,s2,5,no,no
S064,sou,s3,7,no,yes
S064,sou,s4,7,no,yes
S065,sou,s1,5,yes,no
S065,sou,s2,5,no,no
S065,sou,s3,6,no,yes
S065,sou,s4,7,no,yes
S066,sou,s1,5,yes,no
S066,sou,s2,6,no,no
S066,sou,s3,7,no,yes
S066,sou,s4,7,no,yes
S067,sou,s1,6,yes,no
S067,sou,s2,6,no,no
S067,sou,s3,7,no,yes
S067,sou,s4,6,no,yes
S068,sou,s1,5,yes,no
S068,sou,s2,6,no,no
S068,sou,s3,7,no,yes
S068,sou,s4,7,no,yes
S069,sou,s1,4,yes,no
S069,sou,s2,5,no,no
S069,sou,s3,6,no,yes
S069,sou,s4,7,no,yes
S070,sou,s1,7,yes,no
S070,sou,s2,7,no,no
S070,sou,s3,7,no,yes
S070,sou,s4,7,no,yes
S071,sou,s1,6,yes,no
S071,sou,s2,7,no,no
S071,sou,s3,7,no,yes
S071,sou,s4,7,no,yes
S072,sou,s1,5,yes,no
S072,sou,s2,5,no,no
S072,sou,s3,7,no,yes
S072,sou,s4,7,no,yes
S073,sou,s1,7,yes,no
S073,sou,s2,6,no,no
S073,sou,s3,7,no,yes
S073,sou,s4,6,no,yes
S074,sou,s1,6,yes,no
S074,sou,s2,6,no,no
S074,sou,s3,6,no,yes
S074,sou,s4,7,no,yes
S075,sou,s1,4,yes,no
S075,sou,s2,7,no,no
S075,sou,s3,6,no,yes
S075,sou,s4,7,no,yes
S076,sou,s1,7,yes,no
S076,sou,s2,6,no,no
S076,sou,s3,6,no,yes
S076,sou,s4,7,no,yes
S077,sou,s1,6,yes,no
S077,sou,s2,7,no,no
S077,sou,s3,6,no,yes
S077,sou,s4,7,no,yes
S078,sou,s1,5,yes,no
S078,sou,s2,6,no,no
S078,sou,s3,4,no,yes
S078,sou,s4,7,no,yes
S079,sou,s1,3,yes,no
S079,sou,s2,4,no,no
S079,sou,s3,6,no,yes
S079,sou,s4,7,no,yes
S080,sou,s1,6,yes,no
S080,sou,s2,6,no,no
S080,sou,s3,6,no,yes
S080,sou,s4,7,no,yes
S081,sou,s1,6,yes,no
S081,sou,s2,7,no,no
S081,sou,s3,7,no,yes
S081,sou,s4,7,no,yes
S082,sou,s1,5,yes,no
S082,sou,s2,6,no,no
S082,sou,s3,6,no,yes
S082,sou,s4,7,no,yes
S083,sou,s1,6,yes,no
S083,sou,s2,6,no,no
S083,sou,s3,7,no,yes
S083,sou,s4,7,no,yes
S084,sou,s1,6,yes,no
S084,sou,s2,6,no,no
S084,sou,s3,7,no,yes
S084,sou,s4,7,no,yes
S085,sou,s1,5,yes,no
S085,sou,s2,4,no,no
S085,sou,s3,7,no,yes
S085,sou,s4,7,no,yes
S086,sou,s1,6,yes,no
S086,sou,s2,7,no,no
S086,sou,s3,5,no,yes
S086,sou,s4,7,no,yes
S087,sou,s1,5,yes,no
S087,sou,s2,6,no,no
S087,sou,s3,7,no,yes
S087,sou,s4,7,no,yes
S088,sou,s1,5,yes,no
S088,sou,s2,7,no,no
S088,sou,s3,7,no,yes
S088,sou,s4,7,no,yes
S089,sou,s1,6,yes,no
S089,sou,s2,6,no,no
S089,sou,s3,7,no,yes
S089,sou,s4,7,no,yes
S090,sou,s1,5,yes,no
S090,sou,s2,7,no,no
S090,sou,s3,7,no,yes
S090,sou,s4,7,no,yes
S091,sou,s1,5,yes,no
S091,sou,s2,6,no,no
S091,sou,s3,7,no,yes
S091,sou,s4,7,no,yes
S092,sou,s1,4,yes,no
S092,sou,s2,6,no,no
S092,sou,s3,7,no,yes
S092,sou,s4,7,no,yes
S093,sou,s1,7,yes,no
S093,sou,s2,5,no,no
S093,sou,s3,7,no,yes
S093,sou,s4,6,no,yes
S094,sou,s1,7,yes,no
S094,sou,s2,4,no,no
S094,sou,s3,7,no,yes
S094,sou,s4,7,no,yes
S095,sou,s1,5,yes,no
S095,sou,s2,7,no,no
S095,sou,s3,6,no,yes
S095,sou,s4,7,no,yes
S096,sou,s1,3,yes,no
S096,sou,s2,5,no,no
S096,sou,s3,7,no,yes
S096,sou,s4,7,no,yes
S097,sou,s1,5,yes,no
S097,sou,s2,6,no,no
S097,sou,s3,7,no,yes
S097,sou,s4,7,no,yes
S098,sou,s1,5,yes,no
S098,sou,s2,5,no,no
S098,sou,s3,7,no,yes
S098,sou,s4,7,no,yes
S099,sou,s1,7,yes,no
S099,sou,s2,7,no,no
S099,sou,s3,7,no,yes
S099,sou,s4,7,no,yes
S100,sou,s1,5,yes,no
S100,sou,s2,3,no,no
S100,sou,s3,6,no,yes
S100,sou,s4,5,no,yes
